1,1,2022-06-28,11:44:44,92,-7:00,192.168.1.26,57250,192.168.1.27,25,TCP,RX,SYN,0
2,1,2022-06-28,11:44:44,170,-7:00,192.168.1.26,57250,192.168.1.27,25,TCP,TX,323230205055424C4943303820534D54502052656164790D0A,25
3,2,2022-06-28,11:44:44,359,-7:00,192.168.1.26,60588,192.168.1.27,80,TCP,RX,SYN,0
4,3,2022-06-28,11:44:44,420,-7:00,192.168.1.26,38612,192.168.1.27,81,TCP,RX,SYN,0
5,2,2022-06-28,11:44:44,420,-7:00,192.168.1.26,60588,192.168.1.27,80,TCP,RX,474554202F20485454502F312E300D0A0D0A,18
6,2,2022-06-28,11:44:44,734,-7:00,192.168.1.26,60588,192.168.1.27,80,TCP,TX,485454502F312E3120323030204F4B0D0A5365727665723A204D6963726F736F66742D4949532F352E300D0A446174653A205475652C203238204A756E20323032322031313A34343A343420474D540D0A436F6E74656E742D547970653A20746578742F68746D6C0D0A436F6E74656E742D4C656E6774683A20313236360D0A0D0A3C212D2D0D0A0920205741524E494E47210D0A092020506C6561736520646F206E6F7420616C74657220746869732066696C652E204974206D6179206265207265706C6163656420696620796F75207570677261646520796F75722077656220736572766572200D0A2020202020496620796F752077616E7420746F2075736520697420617320612074656D706C6174652C207765207265636F6D6D656E642072656E616D696E672069742C20616E64206D6F64696679696E6720746865206E65772066696C652E0D0A0920205468616E6B732E0D0A2D2D3E0D0A0D0A0D0A3C48544D4C3E0D0A0D0A3C484541443E0D0A3C4D45544120485454502D45515549563D22436F6E74656E742D547970652220436F6E74656E743D22746578742D68746D6C3B20636861727365743D57696E646F77732D31323532223E0D0A0D0A090D0A0D0A3C7469746C652069643D7469746C65746578743E556E64657220436F6E737472756374696F6E3C2F7469746C653E0D0A3C2F484541443E0D0A093C626F6479206267636F6C6F723D77686974653E0D0A093C5441424C453E0D0A093C54523E0D0A093C74642069643D227461626C6550726F7073222077696474683D37302076616C69676E3D746F7020616C69676E3D63656E7465723E0D0A093C494D472069643D227061676572726F72496D6722205352433D227061676572726F722E676966222077696474683D3336206865696768743D34383E20200D0A093C54442069643D227461626C6550726F70735769647468222077696474683D3430303E0D0A090D0A093C68312069643D6572726F7274797065207374796C653D22666F6E743A313470742F313670742076657264616E613B20636F6C6F723A23346534653465223E0D0A093C69642069643D22436F6D6D656E7431223E3C212D2D50726F626C656D2D2D3E3C2F69643E3C69642069643D226572726F7254657874223E556E64657220436F6E737472756374696F6E3C2F69643E3C2F68313E0D0A093C69642069643D22436F6D6D656E7432223E3C212D2D50726F6261626C65206361757365733A3C2D2D3E3C2F69643E3C69642069643D226572726F7264657363223E3C666F6E74207374796C653D22666F6E743A3970742F313270742076657264616E613B20636F6C6F723A626C61636B223E0D0A09546865207369746520796F75207765726520747279696E6720746F20726561636820646F6573206E6F742063757272656E746C79206861766520612064656661756C7420706167652E204974206D617920626520696E207468652070726F63657373206F66206265696E672075706772616465642E0D0A093C2F69643E0D0A093C62723E3C62723E0D0A090D0A093C68722073697A653D3120636F6C6F723D22626C7565223E0D0A090D0A093C62723E0D0A093C4944202069643D7465726D313E0D0A09506C65617365207472792074686973207369746520616761696E206C617465722E20496620796F75207374696C6C20657870657269656E6365207468652070726F626C656D2C2074727920636F6E74616374696E67207468652057656220736974652061646D696E6973747261746F722E0D0A093C2F49443E0D0A093C503E0D0A090D0A093C2F756C3E0D0A093C42523E0D0A093C2F54443E0D0A093C2F54523E0D0A093C2F5441424C453E0D0A093C2F424F44593E0D0A0D0A3C2F48544D4C3E0D0A0D0A0D0A0D0A0D0A0D0A0D0A0D0A0D0A0D0A0D0A,1396
7,2,2022-06-28,11:44:44,734,-7:00,192.168.1.26,60588,192.168.1.27,80,TCP,TX,FIN,0
8,3,2022-06-28,11:44:44,749,-7:00,192.168.1.26,38612,192.168.1.27,81,TCP,RX,474554202F20485454502F312E300D0A0D0A,18
9,3,2022-06-28,11:44:49,747,-7:00,192.168.1.26,38612,192.168.1.27,81,TCP,TX,FIN,0
10,1,2022-06-28,11:44:49,793,-7:00,192.168.1.26,57250,192.168.1.27,25,TCP,TX,FIN,0
11,4,2022-06-28,11:44:49,875,-7:00,192.168.1.26,58400,192.168.1.27,22,TCP,RX,SYN,0
12,4,2022-06-28,11:45:4,814,-7:00,192.168.1.26,58400,192.168.1.27,22,TCP,TX,FIN,0
13,5,2022-06-28,11:45:4,845,-7:00,192.168.1.26,57423,192.168.1.27,161,UDP,RX,302902010104067075626C6963A11C020461AA3F3B020100020100300E300C06082B060102010101000500,43
14,6,2022-06-28,11:45:6,847,-7:00,192.168.1.26,58057,192.168.1.27,161,UDP,RX,302902010004067075626C6963A11C020461AA3F3C020100020100300E300C06082B060102010101000500,43
15,7,2022-06-28,11:46:13,836,-7:00,192.168.1.26,57146,192.168.1.27,81,TCP,RX,SYN,0
